Lat,Lon
-64.3,-63.4
-64.2,-63.4
-64.1,-63.3
-64.1,-63.1
-64,-62.9
-64,-62.7
-63.9,-62.5
-63.9,-62.3
-63.9,-62
-63.9,-61.8
-63.7,-61.2
-63.7,-61
-63.6,-60.8
-63.6,-60.7
-63.6,-60.5
-63.6,-60.2
-63.6,-60
-63.4,-59.3
-63.2,-58.6
-63.1,-57.9
-63.1,-57.6
-63,-57.3
-62.9,-57
-62.8,-56.8
-62.7,-56.5
-62.5,-56.3
-62.4,-56.1
-62.3,-56
-62.2,-55.7
-62.1,-55.2
-62,-55
-61.9,-54.7
-61.9,-54.3
-61.9,-54.1
-61.9,-53.7
-61.9,-53.3
-61.7,-52.8
-61.6,-52.5
-61.5,-52.2
-61.3,-51.9
-61.2,-51.4
-61.1,-50.6
-61.1,-50.4
-61.1,-50.1
-61.1,-49.8
-61.1,-49.5
-61.2,-49.1
-61.2,-48.8
-61.2,-48.5
-61.3,-48.1
-61.4,-47.9
-61.4,-47.5
-61.5,-47.3
-61.6,-47.2
-61.7,-47.1
-61.9,-47.1
-61.9,-46.9
-62,-46.5
-62,-46.2
-62,-45.9
-62,-45.6
-61.9,-45.5
-61.9,-45.3
-62,-45
-62.1,-44.8
-62.3,-44.7
-62.4,-44.5
-62.6,-44.3
-62.7,-44.1
-62.7,-43.8
-62.6,-43.4
-62.6,-43.1
-62.5,-42.7
-62.5,-42.3
-62.3,-41.9
-62.2,-41.6
-62.2,-41.4
-62.1,-41.3
-61.9,-41.3
-61.9,-41.1
-61.9,-40.7
-61.9,-40.4
-61.8,-40.2
-61.9,-39.9
-62.1,-39.9
-62.1,-39.7
-62.1,-39.5
-62,-39.3
-61.9,-39.1
-61.9,-38.8
-62,-38.6
-62,-38.3
-62.1,-38
-62.2,-37.8
-62.2,-37.6
-62.1,-37.3
-62.2,-37
-62.3,-36.8
-62.5,-36.8
-62.6,-36.8
-62.8,-36.8
-62.9,-36.6
-63,-36.5
-63.2,-36
-63.4,-35.6
-63.8,-34.8
-64.1,-34.3
-64.5,-33.8
-64.8,-33.5
-65,-33.3
-65.2,-33.1
-65.4,-32.9
-65.5,-32.7
-65.7,-32.2
-65.8,-31.4
-65.9,-30.7
-66,-30
-66,-29.4
-66,-28.9
-66,-28.4
-66,-28
-66,-27.5
-65.9,-27.3
-65.7,-27.1
-65.7,-26.7
-65.8,-26.3
-65.8,-25.9
-65.8,-25.4
-65.7,-25.1
-65.6,-24.7
-65.5,-24.2
-65.6,-24
-65.7,-24.2
-65.9,-24.3
-66.2,-24.2
-66.4,-24.1
-66.5,-24
-66.5,-23.7
-66.5,-23.4
-66.5,-23.1
-66.4,-22.9
-66.3,-22.8
-66.3,-22.7
-66.4,-22.4
-66.6,-22.1
-66.7,-22
-66.8,-21.7
-66.8,-21.3
-66.7,-20.9
-66.8,-20.6
-66.9,-20.5
-67,-20.7
-67.1,-21
-67.2,-21.3
-67.3,-21.5
-67.4,-21.5
-67.5,-21.5
-67.6,-21.4
-67.7,-21
-67.8,-20.7
-67.8,-20.6
-67.8,-20.4
-67.9,-20.3
-67.9,-20.2
-68,-20.2
-68.1,-20
-68.1,-19.7
-68.2,-19.6
-68.3,-19.4
-68.4,-19.4
-68.5,-19.6
-68.6,-19.9
-68.7,-20
-68.8,-19.8
-68.8,-19.4
-68.8,-19.1
-68.8,-18.6
-68.8,-18.2
-68.8,-17.9
-68.9,-17.5
-69,-17.1
-69.1,-16.7
-69.2,-16.4
-69.3,-16
-69.5,-15.6
-69.5,-15.2
-69.6,-14.8
-69.6,-14.3
-69.4,-13.9
-69.3,-13.5
-69.2,-13
-69.1,-12.7
-69,-12.3
-68.9,-11.8
-68.9,-11.3
-68.9,-11.2
-68.8,-10.9
-68.7,-10.7
-68.6,-10.3
-68.5,-10.2
-68.4,-10.1
-68.3,-10
-68.2,-9.8
-68.2,-9.4
-68.2,-8.9
-68.2,-8.5
-68.2,-7.9
-68.3,-7.2
-68.2,-7
-68.3,-6.4
-68.3,-6
-68.4,-5.7
-68.5,-5
-68.5,-4.5
-68.5,-4.1
-68.5,-3.6
-68.6,-3.2
-68.7,-2.9
-68.7,-2.6
-68.7,-2.2
-68.7,-1.5
-68.6,-0.7
-68.6,-0.2
-68.6,0.5
-68.6,1.2
-68.6,2.4
-68.5,3.1
-68.3,3.8
-68.3,4.1
-68.1,5.1
-68,6.1
-67.9,7.2
-67.8,7.6
-67.6,8.3
-67.6,9.1
-67.6,9.5
-67.5,9.9
-67.4,10.2
-67.4,10.5
-67.2,11
-67.1,11.2
-67,11.2
-66.8,11.2
-66.8,11.5
-66.7,11.8
-66.8,12.1
-66.8,12.4
-66.9,12.8
-66.9,13.1
-66.8,13.4
-66.8,13.5
-66.7,13.8
-66.7,14.2
-66.9,14.4
-67,14.4
-67.2,14.4
-67.3,14.1
-67.4,14.2
-67.4,14.4
-67.3,14.6
-67.2,15
-67.2,15.3
-67.3,15.8
-67.3,16.3
-67.3,16.7
-67.3,17.1
-67.3,17.4
-67.3,17.5
-67.2,18
-67.1,18.6
-67.1,19
-67,19.5
-67,21.3
-66.9,22.1
-66.6,23.7
-66.6,24.7
-66.5,25.4
-66.4,26.2
-66.4,27.5
-66.3,27.9
-66.3,28.6
-66.3,29.1
-66.4,29.5
-66.5,29.8
-66.7,30
-66.9,30.2
-67.1,30.4
-67.2,30.6
-67.2,30.9
-67.1,31.1
-67.1,31.2
-66.9,31.4
-66.8,31.6
-66.7,31.7
-66.5,31.8
-66.2,32.1
-66.1,32.1
-66,32.2
-65.9,32.2
-65.8,32.1
-65.6,32
-65.4,32
-65,32.9
-64.8,33.5
-64.7,33.9
-64.6,34.5
-64.6,34.8
-64.7,35
-64.9,35
-65,34.8
-65,34.5
-65.1,34.3
-65.1,34
-65.2,33.9
-65.3,34.2
-65.3,34.5
-65.4,34.7
-65.4,35
-65.5,35.3
-65.6,35.7
-65.8,36.3
-65.9,36.5
-66.1,36.6
-66.2,36.7
-66.4,36.5
-66.5,36.7
-66.5,37.1
-66.5,37.5
-66.4,37.7
-66.2,38.2
-66.2,38.8
-66.2,39.5
-66.3,40
-66.3,40.6
-66.2,41
-66.1,41.5
-66,41.9
-65.9,42.2
-65.7,42.6
-65.4,43.6
-65.3,44.9
-65.2,45.9
-65.2,46.5
-65.2,47.6
-65.2,48.1
-65.2,48.7
-65.1,49.3
-65,49.5
-64.8,50
-64.7,50.4
-64.6,50.7
-64.4,51.3
-64.4,51.8
-64.3,52.3
-64.3,52.6
-64.2,53.1
-64.1,53.9
-64,54.8
-64,55
-63.9,55.9
-63.9,56.3
-63.9,56.5
-63.9,56.9
-63.9,57.4
-63.9,57.8
-63.8,58.2
-63.9,58.6
-63.9,59.2
-63.8,59.7
-63.7,60.3
-63.7,60.7
-63.5,61
-63.4,61.5
-63.2,61.9
-63.1,62.5
-63.1,63
-63.1,63.5
-63.3,63.7
-63.4,64
-63.5,64.3
-63.4,65
-63.4,65.6
-63.3,66.4
-63.3,67
-63.3,67.4
-63.3,67.8
-63.3,68.1
-63.3,68.6
-63.3,69.5
-63.3,70
-63.3,70.4
-63.2,70.8
-63.1,71.2
-63.2,72
-63.2,72.2
-63.2,72.4
-63.3,72.5
-63.4,72.6
-63.6,72.6
-63.8,72.6
-63.8,72.9
-63.8,73.5
-63.9,73.9
-63.9,74.1
-63.9,74.4
-64.1,74.5
-64.2,74.5
-64.3,73.9
-64.3,73.6
-64.3,73.3
-64.4,73
-64.5,73.1
-64.5,73.5
-64.5,73.9
-64.5,74.3
-64.5,74.8
-64.4,75.2
-64.2,75.6
-64.2,76
-64.2,76.5
-64.2,77.2
-64.2,77.7
-64.1,78.3
-64,79.1
-63.9,79.7
-64,80.9
-64.1,81.2
-64.3,81.5
-64.3,81.8
-64.2,82
-64.1,82.2
-64,82.5
-63.9,82.7
-63.9,82.9
-63.8,83.2
-63.7,83.6
-63.7,84
-63.7,84.4
-63.6,84.6
-63.5,84.7
-63.3,84.7
-63.1,84.7
-63,84.6
-62.8,84.5
-62.8,84.8
-62.9,85.3
-63.1,85.9
-63.3,86.5
-63.4,87.8
-63.6,88.7
-63.6,89.3
-63.6,89.9
-63.5,90.4
-63.3,90.9
-63.2,91.5
-63.1,92
-63.1,92.6
-63,93.6
-63,94.4
-62.9,94.9
-62.8,96
-62.8,96.4
-62.9,96.6
-63.1,97.7
-63.1,98.1
-63.2,98.4
-63.2,98.8
-63.2,99.2
-63.2,99.6
-63,100.2
-62.9,100.9
-62.9,101.7
-62.9,102.3
-63.1,103.2
-63.2,103.7
-63.3,104.2
-63.3,104.9
-63.2,105.4
-63.2,105.9
-63.2,106.3
-63.2,107.1
-63.2,107.8
-63.2,108.6
-63.2,109.2
-63.3,109.7
-63.3,110.2
-63.2,111.3
-63.1,111.9
-63,112.7
-63,113.5
-62.9,114.3
-62.9,114.8
-62.8,115.8
-62.8,116.6
-63,117.3
-63.1,117.7
-63.3,118
-63.5,118.2
-63.8,118.4
-63.9,118.5
-64.2,118.7
-64.4,119
-64.5,119.4
-64.5,119.9
-64.5,120
-64.5,120.2
-64.5,120.6
-64.5,121.1
-64.6,122.5
-64.5,123.1
-64.4,124
-64.4,124.7
-64.4,125.7
-64.5,126.2
-64.5,126.6
-64.5,127.1
-64.4,127.5
-64.4,128.4
-64.3,129.6
-64.2,130.5
-64,131.9
-64,132.5
-64,133.2
-64.1,134.5
-64.1,135.1
-64,135.6
-63.9,136
-63.9,136.2
-64,136.6
-64.1,136.9
-64.1,137.2
-64,137.7
-64,138.2
-64.1,138.6
-64.2,138.6
-64.3,138.7
-64.3,138.9
-64.3,139.2
-64.2,139.6
-64,140.5
-63.9,140.9
-63.8,141.2
-63.9,141.5
-64,141.3
-64.1,141.1
-64.2,140.9
-64.3,141.3
-64.4,141.8
-64.2,142.3
-64.1,142.7
-63.9,143.1
-63.9,143.8
-64.1,144.3
-64.2,144.7
-64.2,145
-64.1,145.3
-64,145.7
-63.9,146
-64,146.2
-64,146.4
-63.9,146.3
-63.7,146.1
-63.5,146.4
-63.4,146.5
-63.4,146.8
-63.4,147.1
-63.4,147.8
-63.4,148.6
-63.4,149
-63.4,149.6
-63.6,150.5
-63.8,151.5
-63.9,151.8
-64,152.4
-64.1,152.8
-64.2,153.1
-64.3,153.4
-64.3,153.7
-64.4,153.9
-64.5,154.3
-64.4,154.6
-64.4,154.9
-64.3,155.2
-64.3,155.4
-64.3,155.8
-64.4,156.1
-64.5,156.4
-64.7,156.8
-64.8,157.1
-64.8,157.4
-64.9,157.6
-64.8,157.8
-64.8,158
-64.7,158.3
-64.7,158.7
-64.8,159.4
-64.9,160
-65.1,160.6
-65.3,161.1
-65.7,161.9
-66,162.8
-66.3,163.7
-66.6,164.4
-66.8,165.2
-66.8,166
-66.9,166.9
-67,167.4
-67,168
-67.1,168.4
-67,169
-66.9,169.5
-66.9,170.2
-66.9,171
-66.9,172
-66.8,172.3
-66.7,172.8
-66.6,173.1
-66.4,173.4
-66.3,173.7
-66.2,173.9
-66.1,174.1
-66.1,174.5
-66.1,175
-66.2,175.5
-66.2,175.9
-66.4,176.3
-66.5,176.6
-66.6,177
-66.8,177.3
-66.9,177.6
-66.9,177.8
-66.9,178.2
-66.9,179.1
-66.8,179.8
-66.8,-179.5
-66.7,-179
-66.7,-178.2
-66.8,-176.7
-66.8,-176.2
-66.8,-175.5
-66.9,-174.6
-67.1,-173.7
-67.1,-173.1
-67.2,-172.8
-67.2,-172.6
-67.2,-171.9
-67.1,-171.4
-67.1,-170.8
-67,-169.7
-67.1,-168.8
-67.2,-168.5
-67.2,-168.1
-67.2,-167.8
-67.2,-167.5
-67.1,-167.1
-67,-166.6
-67,-166
-67.1,-165.6
-67.1,-165.3
-67.1,-165
-67.1,-164.2
-67.1,-163
-67,-162.3
-67,-161.6
-67,-160.6
-67,-160.1
-67.1,-159.2
-67.1,-158.1
-67.1,-157.7
-67,-157.4
-66.9,-157.1
-66.8,-156.7
-66.7,-156.2
-66.6,-155
-66.4,-154.3
-66.3,-153.8
-66.1,-153.1
-66.3,-152.2
-66.4,-151.7
-66.4,-151.3
-66.4,-150.8
-66.5,-150.5
-66.7,-150.3
-66.8,-150.4
-66.9,-150.5
-67,-150.3
-67.1,-150.1
-67.2,-149.6
-67.3,-148.4
-67.4,-148.1
-67.4,-147.6
-67.4,-147.1
-67.5,-146.8
-67.5,-146.3
-67.6,-145.8
-67.6,-145.5
-67.7,-145.2
-67.7,-144.8
-67.7,-144.3
-67.6,-144
-67.5,-143.7
-67.4,-143.2
-67.4,-142.2
-67.4,-141.7
-67.5,-141.2
-67.7,-140.8
-67.8,-140.6
-67.9,-140.1
-67.9,-139.7
-67.9,-139.2
-67.9,-138.8
-67.9,-138.4
-67.8,-138.1
-67.6,-138
-67.5,-137.9
-67.4,-137.3
-67.5,-137
-67.6,-136.6
-67.7,-136.2
-67.8,-135.8
-67.8,-135.3
-67.7,-134.9
-67.6,-134.6
-67.5,-134.3
-67.4,-134
-67.4,-133.8
-67.4,-133
-67.4,-132.5
-67.4,-131.9
-67.4,-130.9
-67.4,-130.5
-67.4,-129.9
-67.4,-129.5
-67.3,-128.8
-67.3,-127.2
-67.2,-126.4
-67,-126.2
-66.9,-125.9
-66.8,-125.7
-66.7,-125.3
-66.6,-124.9
-66.6,-124.5
-66.7,-123.9
-66.7,-123.5
-66.7,-123
-66.8,-122.5
-66.9,-122
-67,-121.7
-67,-121.2
-67,-120.8
-67,-120.1
-67,-119.7
-67.1,-119.3
-67.2,-118.8
-67.2,-118.3
-67.2,-118.1
-67.2,-117.8
-67.1,-117.4
-67.1,-117.2
-67,-116.9
-66.9,-116.7
-66.8,-116.7
-66.7,-116.6
-66.5,-116.5
-66.3,-116.2
-66.1,-115.9
-66,-115.9
-65.8,-115.9
-65.7,-115.9
-65.6,-115.6
-65.6,-115.2
-65.6,-114.7
-65.7,-114.4
-65.9,-114.2
-66.2,-114.3
-66.3,-114.4
-66.4,-114.4
-66.6,-114.5
-66.7,-114.7
-66.8,-115
-66.8,-115.2
-67,-115.1
-67.1,-114.8
-67.1,-114.3
-67,-113.3
-66.9,-112.8
-66.8,-112.1
-66.6,-111.5
-66.5,-111.2
-66.3,-110.8
-66.2,-110.4
-66.3,-110.2
-66.4,-110.1
-66.6,-109.9
-66.6,-109.7
-66.7,-109.3
-66.8,-108.9
-66.9,-108.6
-67.3,-107.9
-67.5,-107.7
-67.5,-107.2
-67.5,-106.9
-67.5,-106.4
-67.5,-106.1
-67.5,-105.7
-67.4,-105.1
-67.4,-104.9
-67.3,-104.7
-67.2,-104.4
-67.3,-104.2
-67.4,-104.1
-67.5,-103.9
-67.6,-103.6
-67.6,-103.3
-67.7,-103.1
-67.7,-102.8
-67.7,-102.6
-67.7,-102.3
-67.7,-101.9
-67.7,-101.6
-67.6,-101.2
-67.5,-100.6
-67.4,-100.5
-67.4,-100.3
-67.4,-100
-67.5,-99.9
-67.5,-99.7
-67.4,-99.5
-67.4,-99.2
-67.4,-98.6
-67.5,-98.4
-67.6,-98.4
-67.7,-98.3
-67.7,-98
-67.7,-97.7
-67.7,-97.3
-67.6,-97.1
-67.4,-97
-67.2,-96.6
-67.1,-96.2
-67.1,-95.6
-67.2,-94.9
-67.2,-94.4
-67.3,-93.8
-67.4,-93.5
-67.4,-93.2
-67.5,-92.9
-67.5,-92.5
-67.4,-92.3
-67.4,-92.1
-67.3,-91.8
-67.2,-91.6
-67.2,-91.5
-67.1,-91.3
-67,-91.1
-67,-90.9
-67,-90.6
-67.1,-90.3
-67.1,-90
-67.2,-89.8
-67.3,-89.5
-67.3,-89.2
-67.3,-88.9
-67.3,-88.7
-67.3,-88.5
-67.3,-88.2
-67.4,-87.8
-67.4,-87.3
-67.5,-87.2
-67.5,-87
-67.6,-86.9
-67.7,-86.9
-67.8,-86.9
-67.9,-86.8
-67.9,-86.6
-68,-86.4
-68,-86
-68,-85.8
-68.1,-85.5
-68.1,-85.3
-68.1,-85.2
-68.2,-85.1
-68.2,-85.2
-68.3,-85.3
-68.3,-85.2
-68.3,-84.9
-68.3,-84.7
-68.3,-84.3
-68.3,-83.9
-68.3,-83.6
-68.3,-83.4
-68.3,-83.2
-68.4,-83.3
-68.5,-83.4
-68.6,-83.6
-68.6,-83.8
-68.7,-83.8
-68.7,-83.5
-68.7,-83.3
-68.6,-83.1
-68.6,-82.9
-68.5,-82.4
-68.5,-82.2
-68.5,-82
-68.4,-81.7
-68.4,-81.6
-68.4,-81.4
-68.5,-81.2
-68.5,-81.1
-68.5,-81
-68.5,-80.9
-68.4,-80.8
-68.3,-80.6
-68.3,-80.5
-68.3,-80.2
-68.4,-80.1
-68.4,-80
-68.4,-79.8
-68.4,-79.6
-68.4,-79.2
-68.3,-78.2
-68.3,-78
-68.4,-77.8
-68.3,-77.6
-68.3,-77.5
-68.3,-77.4
-68.2,-77.1
-68.2,-77
-68.2,-76.8
-68.2,-76.6
-68.2,-76.5
-68.3,-76.4
-68.3,-76.3
-68.3,-76.2
-68.3,-76.1
-68.3,-75.9
-68.3,-75.7
-68.4,-75.6
-68.4,-75.4
-68.4,-75.1
-68.4,-75
-68.4,-74.7
-68.4,-74.5
-68.4,-74.3
-68.6,-74.1
-68.6,-74
-68.6,-73.9
-68.6,-73.7
-68.6,-73.6
-68.6,-73.5
-68.6,-73.4
-68.5,-73.2
-68.5,-73
-68.5,-72.8
-68.5,-72.7
-68.5,-72.6
-68.4,-72.4
-68.3,-72.2
-68.2,-72
-68.1,-71.9
-68.1,-71.8
-67.9,-71.5
-67.8,-71.3
-67.8,-71.1
-67.8,-71
-67.7,-70.6
-67.7,-70.4
-67.7,-70.2
-67.7,-70.1
-67.7,-70
-67.7,-69.8
-67.7,-69.7
-67.8,-69.8
-67.9,-69.8
-68,-69.8
-68,-69.5
-68,-69.4
-67.9,-69.2
-67.8,-69.1
-67.7,-69.2
-67.7,-69.3
-67.6,-69.4
-67.4,-69.3
-67.3,-69.2
-67.2,-69.1
-67.1,-69.1
-67,-69
-67,-68.8
-66.9,-68.8
-66.8,-68.7
-66.7,-68.6
-66.6,-68.4
-66.6,-68.2
-66.5,-67.9
-66.5,-67.8
-66.5,-67.7
-66.5,-67.6
-66.4,-67.5
-66.4,-67.4
-66.3,-67.4
-66.3,-67.3
-66.2,-67.2
-66.2,-67.1
-66.2,-67
-66.2,-66.9
-66.1,-66.9
-66.1,-66.8
-66,-66.7
-66,-66.5
-65.9,-66.5
-65.8,-66.4
-65.8,-66.3
-65.8,-66.2
-65.7,-66.2
-65.6,-66.1
-65.6,-66
-65.6,-66
-65.6,-66
-65.6,-65.7
-65.6,-65.6
-65.5,-65.5
-65.5,-65.4
-65.5,-65.3
-65.4,-65.2
-65.3,-65.1
-65.2,-64.9
-65,-64.4
-64.9,-64.3
-64.8,-64.3
-64.7,-64.3
-64.7,-64.3
-64.7,-64.3
-68.7,-69.4
-68.6,-69.2
-68.5,-69.1
-68.4,-69.1
-68.4,-69
-68.3,-69
-68.3,-68.9
-68.2,-68.8
-68.1,-68.6
-68,-68.5
-67.9,-68.2
-67.9,-68
-68,-67.8
-68.1,-67.6
-68.3,-67.4
-68.4,-67.4
-68.5,-67.5
-68.6,-67.6
-68.7,-67.7
-68.7,-67.9
-68.7,-68.1
-68.8,-68.3
-68.8,-68.5
-68.8,-69
-68.8,-69.2
-68.8,-69.4
-68.7,-69.4
-68.7,-69.4
-67.7,-78.7
-67.7,-78.8
-67.8,-79
-67.8,-79.1
-67.7,-79.3
-67.7,-79.4
-67.6,-79.3
-67.5,-79.2
-67.5,-79
-67.5,-78.9
-67.6,-78.7
-67.7,-78.7
-67.7,-78.7
